RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Pernoctaciones,39085826,2010,8,Agosto
Total,,Pernoctaciones,34909440,2010,7,Julio
Total,,Pernoctaciones,27357010,2010,6,Junio
Total,,Pernoctaciones,23982979,2010,5,Mayo
Total,,Pernoctaciones,19843019,2010,4,Abril
Total,,Pernoctaciones,16752851,2010,3,Marzo
Total,,Pernoctaciones,13108750,2010,2,Febrero
Total,,Pernoctaciones,11308373,2010,1,Enero
Total,,Pernoctaciones,12030368,2009,12,Diciembre
Total,,Pernoctaciones,13255271,2009,11,Noviembre
Total,,Pernoctaciones,21752259,2009,10,Octubre
Total,,Pernoctaciones,27387006,2009,9,Septiembre
Total,,Pernoctaciones,36192581,2009,8,Agosto
Total,,Pernoctaciones,32764251,2009,7,Julio
Total,,Pernoctaciones,26082353,2009,6,Junio
Total,,Pernoctaciones,22661503,2009,5,Mayo
Total,,Pernoctaciones,19591068,2009,4,Abril
Total,,Pernoctaciones,15536341,2009,3,Marzo
Total,,Pernoctaciones,12527991,2009,2,Febrero
Total,,Pernoctaciones,11203819,2009,1,Enero
Total,,Pernoctaciones,11946130,2008,12,Diciembre
Total,,Pernoctaciones,13685099,2008,11,Noviembre
Total,,Pernoctaciones,22253202,2008,10,Octubre
Total,,Pernoctaciones,29305643,2008,9,Septiembre
Total,,Pernoctaciones,37945216,2008,8,Agosto
Total,,Pernoctaciones,34559658,2008,7,Julio
Total,,Pernoctaciones,27737509,2008,6,Junio
Total,,Pernoctaciones,25060656,2008,5,Mayo
Total,,Pernoctaciones,19300764,2008,4,Abril
Total,,Pernoctaciones,19216126,2008,3,Marzo
Total,,Pernoctaciones,14831691,2008,2,Febrero
Total,,Pernoctaciones,12710146,2008,1,Enero
Total,,Pernoctaciones,13356493,2007,12,Diciembre
Total,,Pernoctaciones,15289839,2007,11,Noviembre
Total,,Pernoctaciones,23476804,2007,10,Octubre
